Full Name,PDS,Role,Rating,Career TSR,Age,Gender,Current Companies,Previous Companies,URL
Stephen L Silvestro,CEO: OPTIMIZERX CORP since Dec 2024,CEO,A,250.7836298618162,47,male,OPRX,,https://app.boardroomalpha.com/people/A1319070
Stephen L Silvestro,CEO: OPTIMIZERX CORP since Dec 2024,Director,UN,,47,male,OPRX,,https://app.boardroomalpha.com/people/A1319070
Thomas J Schaefer,CFO: ARCADIA BIOSCIENCES INC since Sep 2025,CEO,A,12.446542343293942,49,male,RKDA,,https://app.boardroomalpha.com/people/A1382498
Thomas J Schaefer,CFO: ARCADIA BIOSCIENCES INC since Sep 2025,CFO,C-,-59.23220408,49,male,RKDA,RKDA,https://app.boardroomalpha.com/people/A1382498
Thomas J Schaefer,CFO: ARCADIA BIOSCIENCES INC since Sep 2025,Director,A,15.58149783202618,49,male,RKDA,,https://app.boardroomalpha.com/people/A1382498
Wes Kaupinen,CEO: PALVELLA THERAPEUTICS INC since Dec 2024,CEO,A,238.46950327194403,47,male,PVLA,,https://app.boardroomalpha.com/people/A1398086
Wes Kaupinen,CEO: PALVELLA THERAPEUTICS INC since Dec 2024,Director,A,238.46950327194403,47,male,PVLA,,https://app.boardroomalpha.com/people/A1398086
Wesley H. Kaupinen,CEO: PALVELLA THERAPEUTICS INC since Dec 2024,CEO,A,238.46950327194406,47,male,PVLA,,https://app.boardroomalpha.com/people/A1398073
Wesley H. Kaupinen,CEO: PALVELLA THERAPEUTICS INC since Dec 2024,Director,A,238.46950327194403,47,male,PVLA,,https://app.boardroomalpha.com/people/A1398073
William I Jacobs,CEO: GREEN DOT CORP since Mar 2025,CEO,A,57.790745290745306,83,male,GDOT,GDOT,https://app.boardroomalpha.com/people/A1002447
William I Jacobs,CEO: GREEN DOT CORP since Mar 2025,Director,C+,8.657970803215754,83,male,"GDOT, RPAY","AACC, CORS, GPN, ITG",https://app.boardroomalpha.com/people/A1002447
Yann Brandt,CEO: FTC SOLAR INC since Aug 2024,CEO,A,63.89405351825754,42,male,FTCI,,https://app.boardroomalpha.com/people/A1395645
Yann Brandt,CEO: FTC SOLAR INC since Aug 2024,Director,A,63.89405351825754,42,male,FTCI,,https://app.boardroomalpha.com/people/A1395645
Yehoshua Nir,CEO: SOLAREDGE TECHNOLOGIES INC since Dec 2024,CEO,A,138.0101207966047,55,male,SEDG,,https://app.boardroomalpha.com/people/A1315687
Yehoshua Nir,CEO: SOLAREDGE TECHNOLOGIES INC since Dec 2024,Director,A,138.01012079660472,55,male,SEDG,,https://app.boardroomalpha.com/people/A1315687
